princeps,interacted_with,verdict
ACIDE FOLINIQUE,"FLUOROURACILE (ET, PAR EXTRAPOLATION, AUTRES FLUOROPYRIMIDINES)",A prendre en compte
ACIDE FUSIDIQUE,INHIBITEURS DE L'HMG-COA RÉDUCTASE (STATINES),CONTRE-INDICATION
ACIDE FUSIDIQUE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
ACIDE NICOTINIQUE,ALCOOL (BOISSON OU EXCIPIENT),A prendre en compte
ACIDE URSODESOXYCHOLIQUE,CICLOSPORINE,A prendre en compte
ACITRETINE,ALCOOL (BOISSON OU EXCIPIENT),CONTRE-INDICATION
ACITRETINE,METHOTREXATE,CONTRE-INDICATION
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANESTHÉSIQUES VOLATILS HALOGÉNÉS,Précaution d'emploi
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),ANTIDÉPRESSEURS IMIPRAMINIQUES,Précaution d'emploi
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),IMAO IRRÉVERSIBLES,Précaution d'emploi
ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,Précaution d'emploi
AFATINIB,AMIODARONE,Précaution d'emploi
AFATINIB,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
AFATINIB,CICLOSPORINE,Précaution d'emploi
AFATINIB,ERYTHROMYCINE,Précaution d'emploi
AFATINIB,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
AFATINIB,ITRACONAZOLE,Précaution d'emploi
AFATINIB,KETOCONAZOLE,Précaution d'emploi
AFATINIB,PRIMIDONE,Précaution d'emploi
AFATINIB,RIFAMPICINE,Précaution d'emploi
AFATINIB,VERAPAMIL,Précaution d'emploi
AGOMELATINE,CIPROFLOXACINE,Association DECONSEILLEE
AGOMELATINE,FLUVOXAMINE,CONTRE-INDICATION
ALBENDAZOLE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
ALBENDAZOLE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
ALBENDAZOLE,RIFAMPICINE,Précaution d'emploi
ALCALINISANTS URINAIRES,HYDROQUINIDINE,Précaution d'emploi
ALCALINISANTS URINAIRES,QUINIDINE,Précaution d'emploi
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,Association DECONSEILLEE
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,ANTIPARKINSONIENS ANTICHOLINERGIQUES,Précaution d'emploi
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,MACROLIDES (SAUF SPIRAMYCINE),Association DECONSEILLEE
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),Association DECONSEILLEE
ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,SYMPATHOMIMÉTIQUES INDIRECTS,Association DECONSEILLEE
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,ALCALOÏDES DE L'ERGOT DE SEIGLE DOPAMINERGIQUES,Association DECONSEILLEE
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,LÉTERMOVIR,CONTRE-INDICATION
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES ALPHA (VOIES ORALE ET/OU NASALE),Association DECONSEILLEE
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,SYMPATHOMIMÉTIQUES INDIRECTS,Association DECONSEILLEE
ALCALOÏDES DE L'ERGOT DE SEIGLE VASOCONSTRICTEURS,TRIPTANS,CONTRE-INDICATION
ALCOOL (BOISSON OU EXCIPIENT),ACIDE NICOTINIQUE,A prendre en compte
ALCOOL (BOISSON OU EXCIPIENT),ACITRETINE,CONTRE-INDICATION
ALCOOL (BOISSON OU EXCIPIENT),ANTABUSE (RÉACTION),Association DECONSEILLEE
ALCOOL (BOISSON OU EXCIPIENT),IMAO IRRÉVERSIBLES,Association DECONSEILLEE
ALCOOL (BOISSON OU EXCIPIENT),INSULINE,Association DECONSEILLEE
ALCOOL (BOISSON OU EXCIPIENT),MÉDICAMENTS SÉDATIFS,Association DECONSEILLEE
ALCOOL (BOISSON OU EXCIPIENT),METFORMINE,Association DECONSEILLEE
ALCOOL (BOISSON OU EXCIPIENT),SULFAMIDES HYPOGLYCÉMIANTS,Association DECONSEILLEE
ALDESLEUKINE,PRODUITS DE CONTRASTE IODÉS,A prendre en compte
ALFENTANIL,CIMETIDINE,Précaution d'emploi
ALFENTANIL,DILTIAZEM,Précaution d'emploi
ALFENTANIL,ERYTHROMYCINE,Précaution d'emploi
ALFENTANIL,FLUCONAZOLE,Précaution d'emploi
ALFENTANIL,INHIBITEURS PUISSANTS DU CYP3A4,Précaution d'emploi
ALFUZOSINE,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
ALFUZOSINE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
ALLOPURINOL,ANTIVITAMINES K,Précaution d'emploi
ALLOPURINOL,DIDANOSINE,Association DECONSEILLEE
ALLOPURINOL,PÉNICILLINES A,A prendre en compte
ALLOPURINOL,VIDARABINE,Association DECONSEILLEE
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS ALPHA-BLOQUANTS,Association DECONSEILLEE
ALPHABLOQUANTS À VISÉE UROLOGIQUE,ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,A prendre en compte
ALPHABLOQUANTS À VISÉE UROLOGIQUE,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,ASDEC - PE
ALPRAZOLAM,INHIBITEURS PUISSANTS DU CYP3A4,A prendre en compte
ALUMINIUM (SELS),CITRATES,Précaution d'emploi
AMBRISENTAN,CICLOSPORINE,A prendre en compte
AMINOSIDES,AUTRES AMINOSIDES,A prendre en compteCIAPECPE
AMINOSIDES,AMPHOTERICINE B,A prendre en compte
AMINOSIDES,ATALUREN,CONTRE-INDICATION
AMINOSIDES,BOTULIQUE (TOXINE),Association DECONSEILLEE
AMINOSIDES,CEFALOTINE,Précaution d'emploi
AMINOSIDES,CICLOSPORINE,A prendre en compte
AMINOSIDES,CURARES,Précaution d'emploi
AMINOSIDES,DIURÉTIQUES DE L'ANSE,Précaution d'emploi
AMINOSIDES,ORGANOPLATINES,A prendre en compte
AMINOSIDES,POLYMYXINE B,Association DECONSEILLEE
AMINOSIDES,TACROLIMUS,A prendre en compte
AMIODARONE,AFATINIB,Précaution d'emploi
AMIODARONE,ANTIVITAMINES K,Précaution d'emploi
AMIODARONE,BÊTA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL),Précaution d'emploi
AMIODARONE,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Précaution d'emploi
AMIODARONE,CICLOSPORINE,Association DECONSEILLEE
AMIODARONE,COBICISTAT,CONTRE-INDICATION
AMIODARONE,DABIGATRAN,Précaution d'emploi
AMIODARONE,DIGOXINE,Précaution d'emploi
AMIODARONE,DILTIAZEM,ASDEC - PE
AMIODARONE,DOCETAXEL,Précaution d'emploi
AMIODARONE,ESMOLOL,Précaution d'emploi
AMIODARONE,FIDAXOMICINE,Association DECONSEILLEE
AMIODARONE,FLUCONAZOLE,Précaution d'emploi
AMIODARONE,IBRUTINIB,Association DECONSEILLEE
AMIODARONE,LIDOCAINE,Précaution d'emploi
AMIODARONE,NINTÉDANIB,Précaution d'emploi
AMIODARONE,OLAPARIB,Association DECONSEILLEE
AMIODARONE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
AMIODARONE,ORLISTAT,Précaution d'emploi
AMIODARONE,PACLITAXEL,Précaution d'emploi
AMIODARONE,"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",Association DECONSEILLEE
AMIODARONE,SIMVASTATINE,Précaution d'emploi
AMIODARONE,SOFOSBUVIR,Association DECONSEILLEE
AMIODARONE,TACROLIMUS,Précaution d'emploi
AMIODARONE,TAMSULOSINE,Précaution d'emploi
AMIODARONE,TOLVAPTAN,Précaution d'emploi
AMIODARONE,VERAPAMIL,ASDEC - PE
AMIODARONE,VORICONAZOLE,Précaution d'emploi
AMLODIPINE,SIMVASTATINE,Précaution d'emploi
AMPHOTERICINE B,AMINOSIDES,A prendre en compte
AMPHOTERICINE B,CICLOSPORINE,A prendre en compte
AMPHOTERICINE B,TACROLIMUS,A prendre en compte
AMPHOTERICINE B,ZIDOVUDINE,Précaution d'emploi
ANAGRELIDE,ACIDE ACETYLSALICYLIQUE,Association DECONSEILLEE
ANAGRELIDE,ANTIAGRÉGANTS PLAQUETTAIRES,Association DECONSEILLEE
ANAGRELIDE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
ANAKINRA,ANTI-TNF ALPHA,Association DECONSEILLEE
ANAKINRA,ETANERCEPT,Association DECONSEILLEE
ANALGÉSIQUES MORPHINIQUES AGONISTES,AUTRES ANALGÉSIQUES MORPHINIQUES AGONISTES,A prendre en compte
ANALGÉSIQUES MORPHINIQUES AGONISTES,ANTITUSSIFS MORPHINE-LIKE,A prendre en compte
ANALGÉSIQUES MORPHINIQUES AGONISTES,ANTITUSSIFS MORPHINIQUES VRAIS,A prendre en compte
ANALGÉSIQUES MORPHINIQUES DE PALIER II,MORPHINIQUES AGONISTES-ANTAGONISTES,Association DECONSEILLEE
ANALGÉSIQUES MORPHINIQUES DE PALIER II,MORPHINIQUES ANTAGONISTES PARTIELS,Association DECONSEILLEE
ANALGÉSIQUES MORPHINIQUES DE PALIER III,MORPHINIQUES AGONISTES-ANTAGONISTES,CONTRE-INDICATION
ANALGÉSIQUES MORPHINIQUES DE PALIER III,MORPHINIQUES ANTAGONISTES PARTIELS,CONTRE-INDICATION
ANALOGUES DE LA SOMATOSTATINE,CICLOSPORINE,Précaution d'emploi
ANALOGUES DE LA SOMATOSTATINE,INSULINE,Précaution d'emploi
ANALOGUES DE LA SOMATOSTATINE,PIOGLITAZONE,Précaution d'emploi
ANALOGUES DE LA SOMATOSTATINE,REPAGLINIDE,Précaution d'emploi
ANALOGUES DE LA SOMATOSTATINE,SULFAMIDES HYPOGLYCÉMIANTS,Précaution d'emploi
ANDROGÈNES,ANTIVITAMINES K,Précaution d'emploi
ANDROGÈNES,INDUCTEURS ENZYMATIQUES,Précaution d'emploi
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),Précaution d'emploi
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS (SAUF ESMOLOL),Précaution d'emploi
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Précaution d'emploi
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISONIAZIDE,Précaution d'emploi
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISOPRENALINE,Association DECONSEILLEE
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES ALPHA ET BÊTA (VOIE IM ET IV),Association DECONSEILLEE
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES INDIRECTS,Précaution d'emploi
ANTABUSE (RÉACTION),ALCOOL (BOISSON OU EXCIPIENT),Association DECONSEILLEE
ANTAGONISTES DES CANAUX CALCIQUES,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ASDEC - PE
ANTAGONISTES DES CANAUX CALCIQUES,IDÉLALISIB,Précaution d'emploi
ANTAGONISTES DES CANAUX CALCIQUES,INHIBITEURS PUISSANTS DU CYP3A4,ASDEC - PE
ANTAGONISTES DES CANAUX CALCIQUES,RIFAMPICINE,ASDEC - PE
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,ACIDE ACETYLSALICYLIQUE,Précaution d'emploi
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,Précaution d'emploi
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),ASDEC - PE
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,DIURÉTIQUES HYPOKALIÉMIANTS,Précaution d'emploi
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,EPLERENONE,Précaution d'emploi
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,INHIBITEURS DE L'ENZYME DE CONVERSION,A prendre en compte
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,LITHIUM,Association DECONSEILLEE
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,POTASSIUM,Association DECONSEILLEE
ANTIAGRÉGANTS PLAQUETTAIRES,ANAGRELIDE,Association DECONSEILLEE
ANTIAGRÉGANTS PLAQUETTAIRES,ANTICOAGULANTS ORAUX,A prendre en compte
ANTIAGRÉGANTS PLAQUETTAIRES,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,A prendre en compte
ANTIAGRÉGANTS PLAQUETTAIRES,COBIMÉTINIB,Précaution d'emploi
ANTIAGRÉGANTS PLAQUETTAIRES,DÉFIBROTIDE,Association DECONSEILLEE
ANTIAGRÉGANTS PLAQUETTAIRES,HÉPARINES,A prendre en compte
ANTIAGRÉGANTS PLAQUETTAIRES,IBRUTINIB,Précaution d'emploi
ANTIAGRÉGANTS PLAQUETTAIRES,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,A prendre en compte
ANTIAGRÉGANTS PLAQUETTAIRES,MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,A prendre en compte
ANTIAGRÉGANTS PLAQUETTAIRES,PENTOXIFYLLINE,A prendre en compte
ANTIAGRÉGANTS PLAQUETTAIRES,THROMBOLYTIQUES,A prendre en compte
ANTIARYTHMIQUES,AUTRES ANTIARYTHMIQUES,CI - ASDEC - APEC
ANTIARYTHMIQUES CLASSE IA,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
ANTIARYTHMIQUES CLASSE IA,ESMOLOL,Précaution d'emploi
ANTIARYTHMIQUES CLASSE IA,RIFAMPICINE,Précaution d'emploi
ANTICHOLINESTÉRASIQUES,MEDICAMENTS ATROPINIQUES,
ANTICHOLINESTÉRASIQUES,AUTRES MEDICAMENTS ANTICHOLINESTERASIQUES,
ANTICHOLINESTÉRASIQUES,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Précaution d'emploi
ANTICHOLINESTÉRASIQUES,MÉDICAMENTS ATROPINIQUES,A prendre en compte
ANTICHOLINESTÉRASIQUES,PILOCARPINE,A prendre en compte
ANTICHOLINESTÉRASIQUES,SUXAMETHONIUM,A prendre en compte
ANTICOAGULANTS ORAUX,AUTRES ANTICOAGULANTS ORAUX,A prendre en compte
ANTICOAGULANTS ORAUX,ACIDE ACETYLSALICYLIQUE,CI - ASDEC - APEC
ANTICOAGULANTS ORAUX,ANTIAGRÉGANTS PLAQUETTAIRES,A prendre en compte
ANTICOAGULANTS ORAUX,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,Association DECONSEILLEE
ANTICOAGULANTS ORAUX,COBIMÉTINIB,Précaution d'emploi
ANTICOAGULANTS ORAUX,DÉFIBROTIDE,Association DECONSEILLEE
ANTICOAGULANTS ORAUX,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),Précaution d'emploi
ANTICOAGULANTS ORAUX,HÉPARINES,Précaution d'emploi
ANTICOAGULANTS ORAUX,IBRUTINIB,Précaution d'emploi
ANTICOAGULANTS ORAUX,IMATINIB,Association DECONSEILLEE
ANTICOAGULANTS ORAUX,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,A prendre en compte
ANTICOAGULANTS ORAUX,IPILIMUMAB,Précaution d'emploi
ANTICOAGULANTS ORAUX,MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,A prendre en compte
ANTICOAGULANTS ORAUX,THROMBOLYTIQUES,A prendre en compte
ANTICOAGULANTS ORAUX,TRAMADOL,A prendre en compte
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ABIRATERONE,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,AFATINIB,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ALBENDAZOLE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ANTAGONISTES DES CANAUX CALCIQUES,ASDEC - PE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ANTIARYTHMIQUES CLASSE IA,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ANTIVITAMINES K,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,APIXABAN,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,APREPITANT,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,BOSENTAN,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,CLOZAPINE,ASDEC - PE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,COBICISTAT,CONTRE-INDICATION
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,DABIGATRAN,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,DEFERASIROX,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,DÉLAMANID,CONTRE-INDICATION
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,DOXYCYCLINE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,DRONEDARONE,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ESTROGÈNES NON CONTRACEPTIFS,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,FENTANYL,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,HALOPERIDOL,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,HORMONES THYROÏDIENNES,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,IDÉLALISIB,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,INHIBITEURS DE LA 5-ALPHA REDUCTASE,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,IVABRADINE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,LÉDIPASVIR,CONTRE-INDICATION
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,METRONIDAZOLE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,MIDAZOLAM,A prendre en compte
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,MINÉRALOCORTICOÏDES,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,MONTELUKAST,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,NIMODIPINE,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,PÉRAMPANEL,A prendre en compte
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,POSACONAZOLE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,PRAZIQUANTEL,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,PROCARBAZINE,A prendre en compte
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,PROPAFENONE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,QUETIAPINE,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,QUININE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,RANOLAZINE,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,RIVAROXABAN,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,STIRIPENTOL,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,TELITHROMYCINE,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,TIAGABINE,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,TICAGRELOR,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,ULIPRISTAL,Association DECONSEILLEE
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,VELPATASVIR,CONTRE-INDICATION
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,VITAMINE D,Précaution d'emploi
ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,VORICONAZOLE,CIASDEC
ANTICONVULSIVANTS MÉTABOLISÉS,MILLEPERTUIS,CONTRE-INDICATION
ANTICORPS MONOCLONAUX (HORS ANTI-TNF ALPHA),VACCINS VIVANTS ATTÉNUÉS,ASDEC - APEC
ANTIDÉPRESSEURS IMIPRAMINIQUES,ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),Précaution d'emploi
ANTIDÉPRESSEURS IMIPRAMINIQUES,ANTIHYPERTENSEURS CENTRAUX,Association DECONSEILLEE
ANTIDÉPRESSEURS IMIPRAMINIQUES,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,A prendre en compte
ANTIDÉPRESSEURS IMIPRAMINIQUES,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,Précaution d'emploi
ANTIDÉPRESSEURS IMIPRAMINIQUES,ORLISTAT,A prendre en compte
ANTIDÉPRESSEURS IMIPRAMINIQUES,SYMPATHOMIMÉTIQUES ALPHA ET BÊTA (VOIE IM ET IV),Association DECONSEILLEE
ANTIHYPERTENSEURS ALPHA-BLOQUANTS,ALPHABLOQUANTS À VISÉE UROLOGIQUE,Association DECONSEILLEE
ANTIHYPERTENSEURS ALPHA-BLOQUANTS,ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS,A prendre en compte
ANTIHYPERTENSEURS ALPHA-BLOQUANTS,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,ASDEC - PE
